text,category
Mchezaji nyota wamejiandaa kwa fainali za bara mwishoni mwa wiki,michezo
Baraza la Mawaziri amezindua mradi wa maji vijijini nchini Tanzania,siasa
Hospitali kuu imepokea vifaa vipya vya kisasa,afya
Spika wa Bunge ameahidi kuboresha miundombinu,siasa
Waziri Mkuu amewaita viongozi kwa mkutano wa dharura,siasa
Bingwa wa riadha imetangaza wachezaji wapya wiki hii,michezo
Baraza la Mawaziri ameunda kamati ya kuchunguza rushwa,siasa
Idara ya chanjo imeanzisha kampeni ya chanjo nchini Tanzania,afya
Wawekezaji wa kigeni wamefungua matawi mapya nchini mjini Nairobi,biashara
Soko la bidhaa wamefungua matawi mapya nchini nchini Kenya,biashara
Shirika la afya duniani imeanzisha kampeni ya chanjo,afya
Tamasha la muziki ameandika kitabu kipya cha hadithi,burudani
Kikundi cha ngoma atafanya tamasha jijini wiki ijayo mwezi huu,burudani
Tamasha la muziki ameshinda tuzo ya kimataifa,burudani
Kituo cha afya wamesisitiza umuhimu wa uchunguzi wa mapema,afya
Kampuni kubwa imetangaza faida kubwa mwaka huu mwezi huu,biashara
Waziri wa Fedha imeripoti ukuaji wa uchumi jana jioni,biashara
Wafanyabiashara wamepata mkataba mkubwa wa kimataifa katika mkutano wa hivi karibuni,biashara
Studio ya sanaa atafanya tamasha jijini wiki ijayo mjini Dar es Salaam,burudani
Wizara ya Afya wamesisitiza umuhimu wa uchunguzi wa mapema nchini Kenya,afya
Tume ya Uchaguzi amesaini sheria mpya bungeni mjini Nairobi,siasa
Wauguzi wamesisitiza umuhimu wa uchunguzi wa mapema mwishoni mwa wiki,afya
Wagonjwa wamesisitiza umuhimu wa uchunguzi wa mapema leo asubuhi,afya
Klabu ya mpira ameteuliwa kuwa nahodha wa timu mwishoni mwa wiki,michezo
Gavana ameahidi kuboresha miundombinu mwishoni mwa wiki,siasa
Waziri Mkuu ametangaza sera mpya ya elimu mwezi huu,siasa
Shirika la kodi wameongeza bei ya mafuta mwishoni mwa wiki,biashara
Gavana ametoa tamko kuhusu usalama wa nchi jana jioni,siasa
Wawekezaji wa kigeni wamepata mkataba mkubwa wa kimataifa jana jioni,biashara
Rais ametoa tamko kuhusu usalama wa nchi katika mkutano wa hivi karibuni,siasa
Klabu ya Yanga imetangaza wachezaji wapya nchini Tanzania,michezo
Kipindi cha televisheni amepata mafanikio makubwa mtandaoni mjini Dar es Salaam,burudani
Bingwa wa riadha imepanda daraja baada ya ushindi wiki hii,michezo
Klabu ya Simba wamejiandaa kwa fainali za bara nchini Kenya,michezo
Idara ya chanjo wametoa elimu kuhusu lishe bora mwishoni mwa wiki,afya
Mwandishi wa vitabu atafanya tamasha jijini wiki ijayo katika mkutano wa hivi karibuni,burudani
Spika wa Bunge ametoa tamko kuhusu usalama wa nchi jana jioni,siasa
Timu ya vijana imeshinda mechi ya kirafiki leo asubuhi,michezo
Benki kuu wamepata mkataba mkubwa wa kimataifa leo asubuhi,biashara
Wafanyabiashara wamewekeza katika kilimo cha kisasa katika mkutano wa hivi karibuni,biashara
Hospitali kuu imeripoti ongezeko la wagonjwa leo asubuhi,afya
Bendi ya muziki wamezindua filamu mpya wiki hii wiki hii,burudani
Shirikisho la mpira wa miguu ameteuliwa kuwa nahodha wa timu,michezo
Sekta ya kilimo wamefungua matawi mapya nchini,biashara
Kiongozi wa upinzani ametangaza sera mpya ya elimu wiki hii,siasa
Kipindi cha televisheni atafanya tamasha jijini wiki ijayo mwishoni mwa wiki,burudani
Shirika la kodi imezindua huduma mpya za kidijitali jana jioni,biashara
Klabu ya Simba ameteuliwa kuwa nahodha wa timu jana jioni,michezo
Waziri wa Mambo ya Ndani ametoa hotuba kuhusu maendeleo ya taifa,siasa
Rais amezindua mradi wa maji vijijini wiki hii,siasa
Timu ya taifa imefunga msimu kwa ushindi mkubwa nchini Kenya,michezo
Timu ya vijana amepata jeraha kabla ya mechi kubwa,michezo
Wagonjwa imeboresha huduma za dharura,afya
Kampuni ya filamu wamezindua filamu mpya wiki hii mwishoni mwa wiki,burudani
Soko la hisa imeripoti ukuaji wa uchumi nchini Kenya,biashara
Mwigizaji amerudi jukwaani baada ya mapumziko,burudani
Kocha mkuu wameanza maandalizi ya kombe la dunia leo asubuhi,michezo
Mfumo wa fedha wameongeza bei ya mafuta mjini Dar es Salaam,biashara
Shirikisho la mpira wa miguu wamejiandaa kwa fainali za bara,michezo
Timu ya vijana amepewa tuzo ya mchezaji bora leo asubuhi,michezo
Sekta ya kilimo imeripoti ukuaji wa uchumi,biashara
Wafanyabiashara imeripoti ukuaji wa uchumi mjini Nairobi,biashara
Hospitali kuu imeanzisha kampeni ya chanjo,afya
Klabu ya mpira imepanda daraja baada ya ushindi,michezo
Shirika la kodi wamepata mkataba mkubwa wa kimataifa,biashara
Shirika la afya duniani wamesisitiza umuhimu wa uchunguzi wa mapema,afya
Klabu ya Yanga imepanda daraja baada ya ushindi jana jioni,michezo
Kikundi cha ngoma ameandika kitabu kipya cha hadithi nchini Tanzania,burudani
Studio ya sanaa ametoa wimbo mpya wenye mafanikio leo asubuhi,burudani
Mwanariadha imeshinda mechi ya kirafiki jana jioni,michezo
Timu ya taifa amepewa tuzo ya mchezaji bora nchini Kenya,michezo
Klabu ya mpira amepata jeraha kabla ya mechi kubwa mwishoni mwa wiki,michezo
Mbunge wa jimbo ameahidi kuboresha miundombinu katika mkutano wa hivi karibuni,siasa
Kiongozi wa upinzani amewaita viongozi kwa mkutano wa dharura mwishoni mwa wiki,siasa
Sekta ya kilimo imeidhinisha mkopo mpya wa maendeleo leo asubuhi,biashara
Wauguzi imeanzisha kampeni ya chanjo,afya
Wizara ya Afya wamefanikiwa upasuaji mgumu mwishoni mwa wiki,afya
Hospitali kuu wamefanikiwa upasuaji mgumu,afya
Benki kuu imetangaza faida kubwa mwaka huu,biashara
Wauguzi imepokea vifaa vipya vya kisasa katika mkutano wa hivi karibuni,afya
Msanii maarufu wamepanga tamasha kubwa la muziki mwishoni mwa wiki,burudani
Shirika la afya duniani wamefanikiwa upasuaji mgumu mwishoni mwa wiki,afya
Benki kuu imeidhinisha mkopo mpya wa maendeleo jana jioni,biashara
Kocha mkuu amepata jeraha kabla ya mechi kubwa nchini Kenya,michezo
Kituo cha afya imeboresha huduma za dharura mwishoni mwa wiki,afya
Msanii maarufu atafanya tamasha jijini wiki ijayo wiki hii,burudani
Msanii wa filamu ametoa wimbo mpya wenye mafanikio mjini Dar es Salaam,burudani
Rais amepitisha bajeti ya serikali,siasa
Soko la hisa wamewekeza katika kilimo cha kisasa wiki hii,biashara
Mbunge wa jimbo amefanya ziara ya kikazi mkoani,siasa
Shirika la kodi imeongeza thamani ya sarafu jana jioni,biashara
Shirikisho la mpira wa miguu imeshinda mechi ya kirafiki katika mkutano wa hivi karibuni,michezo
Wauguzi imeripoti ongezeko la wagonjwa mwishoni mwa wiki,afya
Benki kuu wamewekeza katika kilimo cha kisasa,biashara
Mwigizaji wameshiriki tamasha la kimataifa wiki hii,burudani
Klabu ya mpira amevunja rekodi ya taifa mjini Nairobi,michezo
Timu ya taifa imetangaza wachezaji wapya leo asubuhi,michezo
Taasisi ya utafiti wa afya imeanzisha kampeni ya chanjo jana jioni,afya
Kocha mkuu imefunga msimu kwa ushindi mkubwa,michezo
Mwigizaji wamezindua filamu mpya wiki hii jana jioni,burudani
Mwandishi wa vitabu wameshiriki tamasha la kimataifa,burudani
Kiongozi wa upinzani amefanya ziara ya kikazi mkoani mjini Nairobi,siasa
Mchezaji nyota amepata jeraha kabla ya mechi kubwa mwishoni mwa wiki,michezo
Wafanyabiashara imeidhinisha mkopo mpya wa maendeleo,biashara
Baraza la Mawaziri ametangaza sera mpya ya elimu nchini Kenya,siasa
Timu ya taifa amevunja rekodi ya taifa,michezo
Klabu ya Simba amepewa tuzo ya mchezaji bora nchini Kenya,michezo
Wataalamu wa afya imeanzisha kampeni ya chanjo mwezi huu,afya
Wafanyabiashara imetangaza faida kubwa mwaka huu katika mkutano wa hivi karibuni,biashara
Waziri wa Fedha wamewekeza katika kilimo cha kisasa wiki hii,biashara
Waziri wa Fedha imepunguza riba ya benki wiki hii,biashara
Idara ya chanjo imepokea vifaa vipya vya kisasa leo asubuhi,afya
Msanii maarufu wamezindua filamu mpya wiki hii wiki hii,burudani
Soko la bidhaa wameongeza bei ya mafuta,biashara
Kikundi cha ngoma amezinduliwa kama balozi wa utamaduni mwezi huu,burudani
Timu ya vijana imetangaza wachezaji wapya,michezo
Waziri wa Mambo ya Ndani ameunda kamati ya kuchunguza rushwa nchini Kenya,siasa
Wauguzi imezindua kituo kipya cha afya nchini Kenya,afya
Kocha mkuu amevunja rekodi ya taifa wiki hii,michezo
Kituo cha afya imeanzisha kampeni ya chanjo nchini Tanzania,afya
Bingwa wa riadha imeshinda mechi ya kirafiki nchini Tanzania,michezo
Klabu ya mpira amepewa tuzo ya mchezaji bora nchini Kenya,michezo
Benki kuu imeongeza thamani ya sarafu mwishoni mwa wiki,biashara
Msanii maarufu ameshinda tuzo ya kimataifa leo asubuhi,burudani
Wataalamu wa afya imezindua kituo kipya cha afya,afya
Msanii wa filamu amerudi jukwaani baada ya mapumziko mwishoni mwa wiki,burudani
Wawekezaji wa kigeni imeidhinisha mkopo mpya wa maendeleo wiki hii,biashara
Mfumo wa fedha imezindua huduma mpya za kidijitali,biashara
Taasisi ya utafiti wa afya wametoa tahadhari kuhusu mlipuko wa ugonjwa,afya
Benki kuu wameongeza bei ya mafuta mjini Nairobi,biashara
Tamasha la muziki amerudi jukwaani baada ya mapumziko mwezi huu,burudani
Wizara ya Afya imeanzisha kampeni ya chanjo,afya
Soko la bidhaa imezindua huduma mpya za kidijitali,biashara
Klabu ya Simba imepanda daraja baada ya ushindi,michezo
Madaktari imezindua kituo kipya cha afya,afya
Bendi ya muziki amepata mafanikio makubwa mtandaoni jana jioni,burudani
Wawekezaji wa kigeni imezindua huduma mpya za kidijitali leo asubuhi,biashara
Hospitali kuu wametoa elimu kuhusu lishe bora wiki hii,afya
Kiongozi wa upinzani ameahidi kuboresha miundombinu mwezi huu,siasa
Soko la bidhaa wamewekeza katika kilimo cha kisasa nchini Tanzania,biashara
Waziri Mkuu ameunda kamati ya kuchunguza rushwa leo asubuhi,siasa
Wagonjwa imeripoti ongezeko la wagonjwa mwezi huu,afya
Kampuni ya filamu wameshiriki tamasha la kimataifa leo asubuhi,burudani
Idara ya chanjo imeripoti ongezeko la wagonjwa jana jioni,afya
Mwigizaji atafanya tamasha jijini wiki ijayo nchini Kenya,burudani
Waziri Mkuu ameahidi kuboresha miundombinu mwezi huu,siasa
Msanii maarufu wameshiriki tamasha la kimataifa leo asubuhi,burudani
Kituo cha afya wametoa elimu kuhusu lishe bora,afya
Rais amefanya ziara ya kikazi mkoani nchini Tanzania,siasa
Wagonjwa imezindua kituo kipya cha afya,afya
Msanii maarufu ametoa wimbo mpya wenye mafanikio mjini Dar es Salaam,burudani
Spika wa Bunge ametoa hotuba kuhusu maendeleo ya taifa,siasa
Kituo cha afya wamefanikiwa upasuaji mgumu nchini Tanzania,afya
Shirika la afya duniani imezindua kituo kipya cha afya wiki hii,afya
Shirika la afya duniani wamegundua matibabu mapya ya ugonjwa leo asubuhi,afya
Bunge amefanya ziara ya kikazi mkoani mjini Dar es Salaam,siasa
Timu ya taifa amepata jeraha kabla ya mechi kubwa,michezo
Kampuni kubwa wamepata mkataba mkubwa wa kimataifa,biashara
Rais ameunda kamati ya kuchunguza rushwa mjini Nairobi,siasa
Kampuni kubwa wameongeza bei ya mafuta mwezi huu,biashara
Tume ya Uchaguzi amewaita viongozi kwa mkutano wa dharura mjini Dar es Salaam,siasa
Klabu ya mpira wameanza maandalizi ya kombe la dunia nchini Kenya,michezo
